russian,zilo,gender,abs.pl,obl.sg,obl.pl,loc,GA,pst,imp,pos,transducer_entry,transducer_lexicon_group
шевелиться,бергъери,,,,,,"йергъери, вергъерил",вергъа,вергъаб,V,,Verb_ӏntransitive_class_prefix
печь (глагол),бежери,,,,,,,бежа,бежо,V,,Verb_Transitive
жарить,бежери,,,,,,"бежо, режо",бежа,бежо,V,,Verb_Transitive_class_prefix
встретиться,бади вуъери,,,,,,,бади вуъоб,бади вуъоб,V,,
закончиться,булӏери,,,,,,рулӏери,рулӏи,,V,,Verb_ӏntransitive_class_prefix
закончить,булӏери,,,,,,рулӏери,рулӏи,,V,,Verb_ӏntransitive_class_prefix
кашлять,ухӏудери,,,,,,,ухӏуди,ухӏудиб,V,,Verb_ӏntransitive
кипеть,оххинну,,,,,,,оххонни,оххом,V,,Verb_ӏntransitive
скрипеть,къиркъидери,,,,,,,къиркъиди,къиркъидиб,V,,Verb_ӏntransitive
плавать,коллери,,,,,,,колли,коллиб,V,,Verb_ӏntransitive
вздрагивать,ирери,,,,,,,ири,ириб,V,,Verb_ӏntransitive
гнить,турери,,,,,,,тури,туриб,V,,Verb_ӏntransitive
знать,цӏиннери,,,,,,,цӏинни,цӏинниб,V,,Verb_ӏntransitive
кукарекать,уᵸъуᵸдери,,,,,,,уᵸъуᵸди,уᵸъуᵸдиб,V,,Verb_ӏntransitive
мычать,гьуммедери,,,,,,,гьуммеди,гьуммедиб,V,,Verb_ӏntransitive
скользить,гъурери,,,,,,,гъури,гъуриб,V,,Verb_ӏntransitive
ржать,хӏихӏишери,,,,,,,хӏихӏиши,хӏихӏишоб,V,,Verb_ӏntransitive
слышать,анлъери,,,,,,,анлъи,анлъиб,V,,Verb_ӏntransitive
бегать,гьеллери,,,,,,,гьелли,гьеллиб,V,,Verb_ӏntransitive
жадничать,къиннери,,,,,,,къинни,къинниб,V,,Verb_ӏntransitive
краснеть,гьиᵸрилъери,,,,,,,гьиᵸрилъи,гьиᵸрилъиб,V,,Verb_ӏntransitive
лениться,кӏвахӏаллъери,,,,,,,кӏвахӏаллъи,кӏвахӏаллъиб,V,,Verb_ӏntransitive
моросить,лӏоммери,,,,,,,лӏомми,,V,,Verb_ӏntransitive
молодеть,олохъанлъери,,,,,,,олохъанлъи,олохъанлъиб,V,,Verb_ӏntransitive
стонать,зигардери,,,,,,,зигарди,зигардиб,V,,Verb_ӏntransitive
блеять,гъаргъадери,,,,,,,гъаргъади,гъаргъадиб,V,,Verb_ӏntransitive
блеять,багӏадери,,,,,,,багӏади,багӏадиб,V,,Verb_ӏntransitive
бояться,сирери,,,,,,,сири,сириб,V,,Verb_ӏntransitive
останавливаться,вугъери,,,,,,,вугъи,вугъиб,V,,Verb_ӏntransitive
просыпаться,бичӏчӏери,,,,,,"йичӏчӏиде, бичӏчӏиде, вачӏчӏилде, йачӏчӏилде, бачӏчӏилде",вучӏчӏи,вучӏчӏиб,V,,Verb_ӏntransitive
рваться,таннери,,,,,,,танни,танниб,V,,Verb_ӏntransitive
улыбаться,ккиммери,,,,,,,ккимми,ккиммиб,V,,Verb_ӏntransitive
жужжать,зуннери,,,,,,,зунни,зунниб,V,,Verb_ӏntransitive
капать,кӏурдери,,,,,,,кӏурди,кӏурдиб,V,,Verb_ӏntransitive
идти (об осадках),релӏери,,,,,,,релӏи,релӏиб,V,,Verb_ӏntransitive
прыгать,лъибери,,,,,,,лъиби,лъибиб,V,,Verb_ӏntransitive
слушать,анччери,,,,,,,анччи,анччиб,V,,Verb_ӏntransitive
чихать,эбчунну,,,,,,,эбчунни,эбчум,V,,Verb_ӏntransitive
шипеть,хьавдери,,,,,,,хьавди,хьавдиб,V,,Verb_ӏntransitive
беднеть,бискинлъери,,,,,,,бискинлъи,бискинлъиб,V,,Verb_ӏntransitive
ворчать,гъулгъудери,,,,,,,гъулгъуди,гъулгъудиб,V,,Verb_ӏntransitive
вращаться,ссорери,,,,,,,ссори,ссориб,V,,Verb_ӏntransitive
глупеть,абдаллъери,,,,,,,абдаллъи,абдаллъиб,V,,Verb_ӏntransitive
готовиться,хӏадурлъери,,,,,,,хӏадурлъи,хӏадурлъиб,V,,Verb_ӏntransitive
дорожать,хиралъери,,,,,,,хиралъи,,V,,Verb_ӏntransitive
дремать,чӏабери,,,,,,,чӏаби,чӏабиб,V,,Verb_ӏntransitive
желтеть,чаккулъери,,,,,,,чаккулъи,чаккулъиб,V,,Verb_ӏntransitive
зеленеть,хвечилъери,,,,,,,хвечилъи,хвечилъиб,V,,Verb_ӏntransitive
кудахтать,къудери,,,,,,,къуди,къудиб,V,,Verb_ӏntransitive
мириться,рокъери,,,,,,,рокъи,рокъиб,V,,Verb_ӏntransitive
ревновать,щакери,,,,,,,щаки,щаком,V,,Verb_ӏntransitive
седеть,гьацӏалъери,,,,,,,гьацӏалъи,гьацӏалъиб,V,,Verb_ӏntransitive
светать,кванлъери,,,,,,,кванлъи,кванлъиб,V,,Verb_ӏntransitive
слепнуть,ботӏилъери,,,,,,,ботӏилъи,ботӏилъиб,V,,Verb_ӏntransitive
смысл,анччери,,,,,,,анччи,анччиб,V,,Verb_ӏntransitive
соглашаться,разилъери,,,,,,,разилъи,разилъери вуккуйа,V,,Verb_ӏntransitive
спешить,ххеххери,,,,,,,ххеххи,ххеххилъиб,V,,Verb_ӏntransitive
тяжелеть,гьокӏорулъери,,,,,,,гьокӏорулъи,гьокӏорулъиб,V,,Verb_ӏntransitive
урчать,къулкъудери,,,,,,,къулкъуди,къулкъудиб,V,,Verb_ӏntransitive
урчать,къуркъудери,,,,,,,къуркъуди,къуркъудиб,V,,Verb_ӏntransitive
бежать,гьеллери,,,,,,,гьелли,гьеллиб,V,,Verb_ӏntransitive
выть,гьомдери,,,,,,,гьомди,гьомдиб,V,,Verb_ӏntransitive
гнуться,тӏебери,,,,,,,тӏеби,тӏебиб,V,,Verb_ӏntransitive
рычать,гъулгъудери,,,,,,,гъулгъуди,гъулгъудиб,V,,Verb_ӏntransitive
рычать,кӏкӏуннери,,,,,,,кӏкӏунни,кӏкӏунниб,V,,Verb_ӏntransitive
белеть,гьацӏалъери,,,,,,,гьацӏалъи,гьацӏалъиб,V,,Verb_ӏntransitive
глохнуть,гоъилъери,,,,,,,гоъилъи,гоъилъиб,V,,Verb_ӏntransitive
задерживать,вугъери,,,,,,,вугъи,вугъиб,V,,Verb_ӏntransitive
катиться,гиригирери,,,,,,,гиригири,гиригириб,V,,Verb_ӏntransitive
летать,бурери,,,,,,,бури,буриб,V,,Verb_ӏntransitive
"ныть, скулить",зигардери,,,,,,,зигарди,зигардиб,V,,Verb_ӏntransitive
скулить,кӏкӏуннери,,,,,,,кӏкӏунни,кӏкӏунниб,V,,Verb_ӏntransitive
привыкать,ругьунлъери,,,,,,,ругьунлъи,ругьунлъиб,V,,Verb_ӏntransitive
развеваться,парпадери,,,,,,,парпади,парпадиб,V,,Verb_ӏntransitive
слабеть,лъуналъери,,,,,,,лъуналъи,лъуналъиб,V,,Verb_ӏntransitive
молиться,ккубайдери,,,,,,,ккубайди,ккубайдиб,V,,Verb_ӏntransitive
колоть,къиннери,,,,,,,къинни,къинниб,V,,Verb_ӏntransitive
колоть,хубери,,,,,,,хуби,хубиб,V,,Verb_ӏntransitive
